year_month,days_in_month,max_temperature,avg_max_temp,min_temperature,avg_min_temp,max_daily_rainfall,avg_rainfall_per_day,avg_wind_speed,max_wind_speed,avg_max_humidity,avg_min_humidity,temp_range_mean,days_above_35C,temp_volatility,rainy_days,heavy_rain_days,avg_rainfall_on_rainy_days,days_high_wind,wind_speed_std,days_high_humidity,extreme_weather_days
2009-01,31,44.0,29.82903225806452,10.8,16.364516129032257,0.0,0.0,5.228064516129032,7.41,71.29032258064517,24.870967741935484,13.464516129032258,7.0,3.4733333333333336,0.0,0.0,0.0,0.0,1.3082059454454886,0,7
2009-02,28,43.1,29.95,12.0,17.689285714285713,0.2,0.0071428571428571435,5.297142857142857,6.81,68.78571428571429,25.25,12.260714285714286,5.0,3.803703703703704,1.0,0.0,0.2,0.0,1.1401099919090236,0,5
2009-03,31,36.4,25.322580645161292,8.7,14.216129032258063,8.2,0.6,4.667419354838709,10.76,82.29032258064517,36.645161290322584,11.106451612903223,1.0,3.3600000000000003,8.0,0.0,2.3249999999999997,2.0,2.074769011628259,7,3
2009-04,30,33.8,22.206666666666667,8.0,12.463333333333333,20.0,1.7066666666666668,4.783333333333333,11.5,84.03333333333333,41.2,9.743333333333332,0.0,2.382758620689655,8.0,2.0,6.4,3.0,2.387743608562252,9,4
2009-05,31,22.9,18.112903225806452,4.1,10.154838709677419,19.4,1.664516129032258,3.536774193548387,8.24,91.93548387096774,56.83870967741935,7.958064516129033,0.0,1.393333333333333,11.0,1.0,4.690909090909091,1.0,1.5533177118601635,23,12
2009-06,30,18.9,16.13,4.2,8.116666666666667,16.4,1.3,4.682666666666666,9.73,93.56666666666666,59.733333333333334,8.013333333333334,0.0,1.4206896551724137,14.0,1.0,2.7857142857142856,1.0,2.193947683237139,21,17
2009-07,31,19.8,15.461290322580645,1.8,8.483870967741936,10.4,2.1870967741935483,5.479032258064516,8.78,90.06451612903226,58.193548387096776,6.977419354838709,0.0,1.3233333333333335,17.0,3.0,3.988235294117647,4.0,1.9324739840227427,17,14
2009-08,31,26.6,17.82903225806452,2.6,8.67741935483871,9.2,1.070967741935484,5.701612903225806,12.18,91.35483870967742,48.903225806451616,9.151612903225805,0.0,2.6999999999999997,16.0,0.0,2.075,4.0,2.273473255871133,23,15
2009-09,30,29.6,19.3,3.6,10.08,20.4,1.7133333333333334,5.814666666666667,10.34,88.6,41.13333333333333,9.219999999999999,0.0,3.1620689655172414,14.0,1.0,3.6714285714285713,3.0,2.0644072929691872,16,9
2009-10,31,32.8,21.335483870967742,5.2,10.712903225806452,8.2,0.6580645161290322,5.261612903225806,11.69,84.61290322580645,38.03225806451613,10.622580645161293,0.0,2.9266666666666667,8.0,0.0,2.55,4.0,2.185860771373135,7,4
