year_month,days_in_month,max_temperature,avg_max_temp,min_temperature,avg_min_temp,max_daily_rainfall,avg_rainfall_per_day,avg_wind_speed,max_wind_speed,avg_max_humidity,avg_min_humidity,temp_range_mean,days_above_35C,temp_volatility,rainy_days,heavy_rain_days,avg_rainfall_on_rainy_days,days_high_wind,wind_speed_std,days_high_humidity,extreme_weather_days
2009-01,31,34.4,23.48709677419355,6.8,12.312903225806451,2.0,0.2903225806451613,5.526129032258065,9.42,77.87096774193549,29.870967741935484,11.174193548387096,0.0,4.363333333333333,8.0,0.0,1.125,2.0,1.66099704478837,4,2
2009-02,28,29.4,21.775000000000002,6.5,11.660714285714286,17.4,1.4214285714285713,4.738928571428572,7.14,82.0,42.17857142857143,10.114285714285716,0.0,3.1185185185185182,11.0,2.0,3.6181818181818177,0.0,1.281290840102752,4,2
2009-03,31,26.1,20.496774193548386,8.0,12.103225806451613,42.4,1.9161290322580644,4.611290322580645,9.26,82.61290322580645,45.0,8.393548387096773,0.0,2.9333333333333327,9.0,1.0,6.6,2.0,1.7617826993048527,9,3
2009-04,30,25.1,17.596666666666668,1.3,9.166666666666666,21.6,1.7000000000000002,4.421666666666667,7.09,86.0,47.7,8.43,0.0,2.548275862068966,9.0,2.0,5.666666666666667,0.0,1.248317718546357,11,2
2009-05,31,19.2,15.51290322580645,1.8,7.158064516129032,8.6,1.0193548387096774,4.2222580645161285,8.06,87.03225806451613,51.903225806451616,8.35483870967742,0.0,1.7233333333333338,11.0,0.0,2.8727272727272726,1.0,1.5966437917862153,12,2
2009-06,30,16.8,12.696666666666665,2.1,5.739999999999999,35.0,4.54,3.5643333333333334,6.39,92.56666666666666,67.53333333333333,6.956666666666665,0.0,1.486206896551724,17.0,4.0,8.011764705882353,0.0,1.1473768684093817,24,7
2009-07,31,17.2,12.438709677419356,1.3,5.206451612903226,9.8,1.4903225806451614,4.613870967741936,8.27,84.87096774193549,52.935483870967744,7.232258064516129,0.0,1.5033333333333334,18.0,0.0,2.5666666666666664,1.0,1.5802819947071785,10,1
2009-08,31,18.9,13.97741935483871,3.2,7.138709677419355,9.8,1.8516129032258064,5.935483870967742,10.5,82.0,48.38709677419355,6.838709677419355,0.0,2.1999999999999997,20.0,0.0,2.8699999999999997,4.0,1.895830229230591,6,4
2009-09,30,20.4,15.586666666666668,2.5,6.883333333333334,21.8,3.5733333333333333,5.400666666666667,11.51,85.06666666666666,46.56666666666667,8.703333333333331,0.0,2.1137931034482764,20.0,5.0,5.36,3.0,1.992779956247801,8,6
2009-10,31,25.2,16.003225806451614,3.2,7.651612903225807,11.8,1.303225806451613,4.457741935483871,7.12,84.6774193548387,47.0,8.351612903225808,0.0,2.5233333333333334,16.0,1.0,2.525,0.0,1.124733182218252,8,1
2009-11,30,32.6,20.09333333333333,5.5,11.166666666666666,30.0,1.88,4.950666666666667,8.8,85.83333333333333,46.766666666666666,8.92666666666667,0.0,3.8172413793103455,10.0,1.0,5.64,3.0,1.7341616941938243,13,3
