year_month,days_in_month,max_temperature,avg_max_temp,min_temperature,avg_min_temp,max_daily_rainfall,avg_rainfall_per_day,avg_wind_speed,max_wind_speed,avg_max_humidity,avg_min_humidity,temp_range_mean,days_above_35C,temp_volatility,rainy_days,heavy_rain_days,avg_rainfall_on_rainy_days,days_high_wind,wind_speed_std,days_high_humidity,extreme_weather_days
2009-01,31,43.0,33.645161290322584,10.3,18.470967741935485,12.6,0.4064516129032258,5.47258064516129,7.64,75.29032258064517,29.258064516129032,15.174193548387096,14.0,3.3166666666666673,1.0,1.0,12.6,0.0,0.8222731409206857,4,16
2009-02,28,39.9,32.471428571428575,8.3,17.614285714285714,4.8,0.19285714285714284,5.910370370370371,8.58,72.92592592592592,26.14814814814815,14.85714285714286,8.0,3.5074074074074075,3.0,0.0,1.8,1.0,1.2717265111211289,6,11
2009-03,31,39.7,29.467741935483872,6.1,14.316129032258065,2.0,0.1935483870967742,5.0848387096774195,9.01,80.70967741935483,29.29032258064516,15.151612903225807,4.0,3.1966666666666663,4.0,0.0,1.5,1.0,1.5026196479653835,11,11
2009-04,30,35.5,28.063333333333333,3.7,13.513333333333332,6.2,0.22666666666666666,4.658,8.98,81.93333333333334,28.3,14.550000000000002,1.0,2.5275862068965513,2.0,0.0,3.4,1.0,1.5310609348444941,12,8
2009-05,31,28.5,24.32903225806452,3.1,10.654838709677419,21.2,1.6,4.522903225806452,8.0,77.3225806451613,29.870967741935484,13.674193548387096,0.0,1.516666666666666,4.0,3.0,12.4,0.0,1.5965278858581147,7,6
2009-06,30,25.3,19.066666666666666,3.3,8.85,20.2,4.38,4.352333333333333,9.78,95.06666666666666,49.46666666666667,10.216666666666667,0.0,1.9724137931034484,18.0,5.0,7.300000000000001,2.0,1.8191049017794882,26,23
2009-07,31,21.8,17.96451612903226,2.0,7.461290322580646,26.8,4.690322580645161,3.9874193548387096,7.8,96.7741935483871,46.54838709677419,10.503225806451614,0.0,1.21,17.0,6.0,8.55294117647059,0.0,1.4057974433085667,29,26
2009-08,31,21.7,19.14516129032258,0.9,8.670967741935485,22.8,4.161290322580645,4.01,8.17,96.90322580645162,50.096774193548384,10.474193548387099,0.0,1.2233333333333334,18.0,5.0,7.166666666666667,2.0,1.7055145851032762,30,27
2009-09,30,26.5,18.73,2.5,9.129999999999999,14.8,3.106666666666667,5.145333333333334,9.39,93.16666666666667,44.96666666666667,9.599999999999998,0.0,2.3000000000000003,23.0,3.0,4.052173913043478,3.0,1.7891295000128111,24,20
2009-10,31,37.0,24.154838709677417,3.9,10.958064516129031,2.0,0.12903225806451613,5.050967741935484,8.2,86.48387096774194,38.67741935483871,13.196774193548384,1.0,3.3666666666666663,4.0,0.0,1.0,1.0,1.3989504514425797,17,7
