year_month,days_in_month,max_temperature,avg_max_temp,min_temperature,avg_min_temp,max_daily_rainfall,avg_rainfall_per_day,avg_wind_speed,max_wind_speed,avg_max_humidity,avg_min_humidity,temp_range_mean,days_above_35C,temp_volatility,rainy_days,heavy_rain_days,avg_rainfall_on_rainy_days,days_high_wind,wind_speed_std,days_high_humidity,extreme_weather_days
2009-01,31,31.4,29.16774193548387,17.6,21.283870967741933,18.6,2.4645161290322584,4.583225806451614,6.72,87.48387096774194,53.41935483870968,7.883870967741936,0.0,1.01,14.0,2.0,5.457142857142858,0.0,0.875558439308971,11,4
2009-02,28,31.6,28.75357142857143,18.2,21.12142857142857,69.2,5.478571428571429,3.962857142857143,5.17,92.53571428571429,58.785714285714285,7.632142857142857,0.0,1.2481481481481487,11.0,4.0,13.945454545454545,0.0,0.586236314017663,19,5
2009-03,31,31.2,28.161290322580644,16.3,19.719354838709677,23.6,1.8516129032258064,4.393548387096774,6.34,90.7741935483871,52.064516129032256,8.441935483870967,0.0,0.9100000000000001,12.0,1.0,4.783333333333333,0.0,0.811543995057556,19,4
2009-04,30,30.1,26.453333333333333,8.2,17.11,72.0,6.36,3.8886666666666665,6.05,92.63333333333334,51.2,9.343333333333334,0.0,1.2620689655172417,13.0,5.0,14.676923076923078,0.0,0.8012220551190509,23,12
2009-05,31,25.8,23.225806451612904,7.0,13.141935483870967,100.2,8.96774193548387,3.6609677419354836,5.92,92.90322580645162,50.67741935483871,10.083870967741936,0.0,0.9599999999999999,9.0,3.0,30.888888888888896,0.0,0.8363864929513136,24,11
2009-06,30,24.0,21.113333333333333,3.4,10.593333333333334,30.2,3.146666666666667,3.3953333333333333,5.62,95.06666666666666,51.6,10.520000000000001,0.0,1.0827586206896553,12.0,3.0,7.866666666666667,0.0,0.8403682827039063,25,19
2009-07,31,25.3,20.806451612903224,3.7,8.825806451612904,3.4,0.12903225806451613,4.065483870967742,7.88,90.45161290322581,42.41935483870968,11.980645161290322,0.0,1.6700000000000002,3.0,0.0,1.3333333333333333,0.0,1.2429798569289778,22,12
2009-08,31,33.7,24.009677419354837,7.2,11.238709677419354,1.6,0.05806451612903226,3.832258064516129,6.39,94.93548387096774,42.45161290322581,12.770967741935483,0.0,1.9133333333333336,2.0,0.0,0.9,0.0,0.9661908357994272,28,20
2009-09,30,29.4,25.663333333333334,5.2,12.603333333333333,8.6,0.36666666666666664,4.493333333333334,9.12,88.4,36.53333333333333,13.06,0.0,1.1068965517241378,2.0,0.0,5.5,1.0,1.5922448549644994,19,12
2009-10,31,34.8,26.738709677419354,9.8,14.722580645161292,58.8,2.051612903225806,4.884193548387096,7.56,86.54838709677419,39.064516129032256,12.016129032258064,0.0,1.8833333333333324,5.0,1.0,12.719999999999999,0.0,1.1038320349085373,14,5
2009-11,30,31.6,27.986666666666668,13.9,19.546666666666667,8.4,1.0333333333333334,5.388999999999999,8.17,88.0,50.8,8.440000000000001,0.0,0.9137931034482759,9.0,0.0,3.4444444444444446,1.0,1.425560627770098,10,2
2009-12,31,31.1,28.883870967741935,16.9,21.532258064516128,45.2,7.135483870967742,5.288387096774193,8.96,88.58064516129032,56.70967741935484,7.351612903225806,0.0,0.8633333333333341,15.0,6.0,14.746666666666664,3.0,1.5900421310438992,14,11
2010-01,31,32.1,29.664516129032258,17.8,21.51290322580645,22.0,1.7096774193548387,4.3341935483870975,6.35,89.48387096774194,53.45161290322581,8.151612903225805,0.0,0.8733333333333337,10.0,2.0,5.3,0.0,0.7861160821555909,15,2
2010-02,28,31.2,29.114285714285717,19.4,21.775000000000002,35.4,4.242857142857143,4.392142857142857,6.82,92.32142857142857,58.142857142857146,7.339285714285714,0.0,0.9888888888888892,15.0,4.0,7.920000000000001,0.0,0.956755153255222,21,8
2010-03,31,30.1,27.345161290322583,17.4,20.048387096774192,57.4,6.496774193548387,3.9129032258064513,6.11,93.74193548387096,59.483870967741936,7.296774193548388,0.0,0.7933333333333332,22.0,7.0,9.154545454545453,0.0,0.9777463663902042,27,15
2010-04,30,28.9,26.053333333333335,12.3,17.333333333333332,27.0,3.14,3.6086666666666667,4.73,93.63333333333334,57.86666666666667,8.72,0.0,1.1655172413793098,13.0,3.0,7.246153846153846,0.0,0.4704783576929668,25,11
2010-05,31,27.1,23.509677419354837,6.1,13.064516129032258,16.2,1.6645161290322579,3.646774193548387,5.0,92.74193548387096,49.935483870967744,10.445161290322579,0.0,1.5499999999999996,9.0,2.0,5.733333333333333,0.0,0.6663652006558876,21,13
2010-06,30,24.9,21.166666666666668,5.2,10.32,6.0,0.4266666666666667,3.612,5.76,91.26666666666667,48.766666666666666,10.846666666666668,0.0,1.2344827586206895,7.0,0.0,1.8285714285714287,0.0,0.856558470738048,20,11
2010-07,31,27.1,20.661290322580644,5.5,11.229032258064517,12.8,1.1935483870967742,3.7348387096774194,6.12,91.83870967741936,50.16129032258065,9.432258064516128,0.0,1.5033333333333336,10.0,1.0,3.7,0.0,0.9550353255865877,20,14
2010-08,31,26.0,20.90967741935484,5.0,10.112903225806452,80.8,3.4838709677419355,4.193548387096774,7.92,85.70967741935483,39.54838709677419,10.796774193548389,0.0,1.9366666666666665,7.0,1.0,15.428571428571429,0.0,1.3887153497317748,13,7
2010-09,30,26.3,23.453333333333333,9.9,14.853333333333332,32.0,2.613333333333333,3.9876666666666667,8.27,91.7,54.36666666666667,8.6,0.0,1.1310344827586205,9.0,3.0,8.711111111111112,1.0,1.1564293539056818,23,13
2010-10,31,27.4,23.58709677419355,7.2,15.64516129032258,112.4,11.290322580645162,4.1006451612903225,9.89,94.19354838709677,57.96774193548387,7.941935483870969,0.0,1.3966666666666663,18.0,9.0,19.444444444444443,1.0,1.4902503939134322,27,16
2010-11,30,28.4,25.94,12.9,18.813333333333333,28.2,1.7733333333333334,4.417666666666666,5.71,87.93333333333334,52.43333333333333,7.126666666666666,0.0,1.0275862068965516,16.0,1.0,3.3249999999999997,0.0,0.7601301310249147,13,3
2010-12,31,30.8,26.906451612903226,13.4,20.516129032258064,76.8,14.612903225806452,4.215806451612903,6.73,94.16129032258064,64.45161290322581,6.390322580645161,0.0,1.4633333333333332,22.0,10.0,20.590909090909093,0.0,1.000599067870671,25,18
2011-01,31,33.5,28.309677419354838,17.8,21.193548387096776,112.6,11.425806451612903,4.1087096774193546,5.71,92.41935483870968,61.12903225806452,7.116129032258065,0.0,1.0199999999999998,15.0,8.0,23.613333333333337,0.0,0.7531566545125651,23,13
2011-02,28,32.2,29.196428571428573,18.1,21.625,31.4,3.15,4.181785714285715,6.21,93.35714285714286,59.107142857142854,7.57142857142857,0.0,1.003703703703704,17.0,3.0,5.188235294117648,0.0,0.7432065341349956,23,10
2011-03,31,32.3,27.761290322580646,15.0,20.212903225806453,58.8,6.361290322580645,3.770322580645161,5.88,91.51612903225806,57.806451612903224,7.548387096774193,0.0,1.2699999999999998,15.0,5.0,13.146666666666667,0.0,0.7824895478363391,22,9
2011-04,30,28.8,25.283333333333335,14.8,16.87333333333333,28.2,3.2333333333333334,3.8036666666666665,4.74,94.7,56.53333333333333,8.41,0.0,1.2275862068965515,16.0,2.0,6.0625,0.0,0.5915699937211695,27,16
2011-05,31,26.1,22.387096774193548,7.4,11.980645161290322,12.8,1.4258064516129034,3.624516129032258,6.86,91.45161290322581,48.516129032258064,10.406451612903227,0.0,0.9000000000000002,9.0,2.0,4.911111111111111,0.0,0.8877981704181697,22,10
2011-06,30,25.3,20.333333333333332,4.0,9.49,4.0,0.26206896551724135,3.6790000000000003,5.81,91.06666666666666,43.3,10.843333333333332,0.0,2.1034482758620685,5.0,0.0,1.52,0.0,1.0442662825953528,22,6
2011-07,31,23.1,20.82903225806452,3.2,8.0,10.4,0.38064516129032255,4.035483870967742,6.91,86.90322580645162,36.38709677419355,12.829032258064514,0.0,1.3300000000000003,3.0,1.0,3.933333333333333,0.0,0.9950840457290611,16,6
2011-08,31,24.1,21.687096774193545,5.0,10.270967741935483,34.4,3.1866666666666665,3.761290322580645,6.29,93.3225806451613,45.61290322580645,11.416129032258068,0.0,1.0266666666666668,11.0,3.0,8.69090909090909,0.0,0.7807677500831426,25,16
2011-09,30,29.1,23.646666666666665,7.0,11.416666666666666,8.2,0.5533333333333333,4.153666666666667,8.88,90.0,40.166666666666664,12.229999999999999,0.0,1.293103448275862,8.0,0.0,2.075,1.0,1.2321539405988737,19,11
2011-10,31,28.6,24.635483870967743,8.4,15.23225806451613,38.8,3.2451612903225806,4.1170967741935485,7.92,91.6774193548387,50.83870967741935,9.403225806451612,0.0,1.3800000000000001,15.0,3.0,6.706666666666666,0.0,1.217752557099586,23,15
2011-11,30,30.4,27.523333333333333,15.3,19.736666666666668,15.0,0.5266666666666667,5.105,7.87,88.8,55.3,7.786666666666666,0.0,1.0620689655172413,3.0,1.0,5.266666666666667,0.0,1.2278934863387394,10,4
2011-12,31,32.5,26.429032258064513,13.9,18.229032258064517,35.2,4.038709677419355,4.171290322580645,5.43,90.0,52.806451612903224,8.2,0.0,1.8066666666666669,17.0,3.0,7.364705882352942,0.0,0.6494907848229199,14,8
