year_month,days_in_month,max_temperature,avg_max_temp,min_temperature,avg_min_temp,max_daily_rainfall,avg_rainfall_per_day,avg_wind_speed,max_wind_speed,avg_max_humidity,avg_min_humidity,temp_range_mean,days_above_35C,temp_volatility,rainy_days,heavy_rain_days,avg_rainfall_on_rainy_days,days_high_wind,wind_speed_std,days_high_humidity,extreme_weather_days
2009-01,31,33.9,32.05806451612903,22.9,25.483870967741936,81.0,13.258064516129032,5.0041935483870965,8.41,93.70967741935483,62.83870967741935,6.574193548387097,0.0,0.9633333333333333,22.0,10.0,18.68181818181818,2.0,1.496303833213804,24,17
2009-02,28,33.0,30.925,22.8,24.75,95.8,17.70714285714286,4.688214285714286,7.93,95.46428571428571,68.92857142857143,6.174999999999999,0.0,1.451851851851852,26.0,10.0,19.06923076923077,0.0,1.7832721766698025,24,19
2009-03,31,34.9,33.170967741935485,22.2,24.770967741935483,19.8,3.729032258064516,3.915483870967742,5.83,93.96774193548387,49.225806451612904,8.399999999999999,0.0,0.7166666666666669,14.0,5.0,8.257142857142856,0.0,0.8667634768096674,25,11
2009-04,30,35.1,33.62,21.5,24.59,22.6,2.12,3.3743333333333334,4.37,92.86666666666666,45.266666666666666,9.03,1.0,0.8310344827586205,9.0,2.0,7.066666666666666,0.0,0.5268166162208978,25,6
2009-05,31,34.3,32.648387096774194,18.7,22.593548387096774,0.4,0.012903225806451613,4.07,5.68,85.51612903225806,36.96774193548387,10.054838709677421,0.0,0.7600000000000006,1.0,0.0,0.4,0.0,0.7968103078315858,8,1
2009-06,30,33.7,31.459999999999997,14.9,20.123333333333335,0.0,0.0,3.478333333333333,4.74,88.26666666666667,31.433333333333334,11.336666666666668,0.0,0.9620689655172414,0.0,0.0,0.0,0.0,0.633403958554605,16,9
2009-07,31,34.0,31.296774193548387,15.1,18.990322580645163,0.0,0.0,3.6990322580645163,5.03,88.35483870967742,28.032258064516128,12.306451612903228,0.0,1.0599999999999996,0.0,0.0,0.0,0.0,0.6110829449357901,15,9
2009-08,31,33.9,31.98709677419355,16.2,20.10967741935484,0.0,0.0,3.6283870967741936,4.84,91.2258064516129,33.96774193548387,11.87741935483871,0.0,0.7533333333333333,0.0,0.0,0.0,0.0,0.5935828881978407,21,4
2009-09,30,35.2,33.48,22.0,24.013333333333332,15.0,1.1466666666666667,4.064,5.89,88.8,41.13333333333333,9.466666666666667,2.0,0.8724137931034477,3.0,2.0,11.466666666666667,0.0,0.5694922118083309,13,5
2009-10,31,38.0,34.76451612903226,22.3,24.635483870967743,18.2,1.0774193548387097,4.0683870967741935,5.7,87.25806451612904,33.225806451612904,10.129032258064516,11.0,1.0200000000000002,6.0,2.0,5.566666666666666,0.0,0.6953996298253906,9,13
2009-11,30,36.2,33.693333333333335,22.7,25.206666666666667,23.4,4.366666666666666,4.031666666666667,4.88,91.5,47.03333333333333,8.486666666666668,2.0,0.9724137931034481,15.0,4.0,8.733333333333333,0.0,0.6068351098731127,19,10
2009-12,31,35.7,32.851612903225806,23.0,25.4,162.2,14.748387096774193,4.054838709677419,8.55,94.74193548387096,59.516129032258064,7.451612903225806,3.0,1.2399999999999998,22.0,9.0,20.78181818181818,1.0,1.0669703868672331,27,19
2010-01,31,33.5,31.51290322580645,22.6,24.81935483870968,91.4,20.32903225806452,5.153225806451613,9.28,95.29032258064517,64.93548387096774,6.693548387096773,0.0,1.1666666666666663,25.0,20.0,25.208000000000002,3.0,1.727496043597542,25,24
2010-02,28,34.3,32.61785714285714,22.6,25.77857142857143,136.4,15.314285714285715,5.1000000000000005,9.05,93.14285714285714,63.642857142857146,6.839285714285715,0.0,0.7666666666666663,16.0,5.0,26.800000000000004,2.0,1.579298953708634,22,11
2010-03,31,35.4,33.309677419354834,23.4,25.29032258064516,41.2,6.4,3.6919354838709677,7.81,95.29032258064517,52.70967741935484,8.019354838709678,1.0,0.9666666666666665,16.0,8.0,12.4,0.0,0.9813202649316844,30,17
2010-04,30,34.0,32.47666666666667,23.5,24.716666666666665,68.2,4.553333333333333,3.7253333333333334,5.16,94.53333333333333,55.46666666666667,7.760000000000001,0.0,1.2310344827586208,18.0,3.0,7.588888888888889,0.0,0.767358808009581,27,15
2010-05,31,33.9,32.30967741935484,21.6,24.283870967741933,24.4,2.135483870967742,4.1893548387096775,6.17,90.64516129032258,51.193548387096776,8.025806451612905,0.0,0.873333333333333,10.0,2.0,6.62,0.0,1.0772122523250187,19,11
2010-06,30,33.2,31.14333333333333,16.0,20.19333333333333,0.0,0.0,4.553,6.21,83.0,33.166666666666664,10.950000000000005,0.0,0.8172413793103449,0.0,0.0,0.0,0.0,0.5702579573588031,5,1
2010-07,31,34.7,32.63548387096775,19.7,22.306451612903224,0.2,0.0064516129032258064,4.833870967741936,7.08,82.0,35.806451612903224,10.329032258064519,0.0,0.8133333333333338,1.0,0.0,0.2,0.0,1.0105829255743268,10,0
2010-08,31,34.8,32.75483870967742,17.9,21.358064516129033,0.0,0.0,4.129032258064516,7.26,85.80645161290323,30.806451612903224,11.396774193548387,0.0,0.8499999999999989,0.0,0.0,0.0,0.0,0.9732603448845182,15,3
