'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/09/2014,4.3,0.0,3.2,25.2,10.7,94,24,3.98,15.86
SYDNEY AIRPORT AMO,02/09/2014,3.5,0.2,5.2,17.8,15.0,80,42,6.82,8.20
SYDNEY AIRPORT AMO,03/09/2014,3.7,5.4,4.2,15.1,8.7,85,44,12.14,15.14
SYDNEY AIRPORT AMO,04/09/2014,3.1,0.0,3.0,15.2,9.0,83,54,8.98,15.20
SYDNEY AIRPORT AMO,05/09/2014,2.5,3.8,3.6,15.8,9.2,90,65,7.80,14.25
SYDNEY AIRPORT AMO,06/09/2014,2.8,7.4,3.2,17.7,12.1,92,57,7.21,10.98
SYDNEY AIRPORT AMO,07/09/2014,2.4,10.2,3.6,17.2,11.9,96,57,4.35,11.84
SYDNEY AIRPORT AMO,08/09/2014,3.7,2.8,2.4,20.8,10.8,96,40,5.16,16.61
SYDNEY AIRPORT AMO,09/09/2014,4.9,0.0,5.0,24.2,12.7,81,40,6.87,17.22
SYDNEY AIRPORT AMO,10/09/2014,5.1,5.4,6.8,23.4,14.2,89,26,6.70,15.41
SYDNEY AIRPORT AMO,11/09/2014,5.9,0.2,5.2,26.5,11.3,80,22,5.52,19.24
SYDNEY AIRPORT AMO,12/09/2014,2.9,0.0,6.8,16.8,14.3,86,52,5.98,9.20
SYDNEY AIRPORT AMO,13/09/2014,2.3,0.0,2.4,18.7,13.6,90,67,3.45,11.40
SYDNEY AIRPORT AMO,14/09/2014,4.3,1.0,2.8,24.2,12.9,91,35,4.07,19.28
SYDNEY AIRPORT AMO,15/09/2014,3.4,0.0,3.8,21.1,13.3,89,52,4.26,17.29
SYDNEY AIRPORT AMO,16/09/2014,4.7,0.2,4.8,23.2,14.8,88,27,6.64,9.49
SYDNEY AIRPORT AMO,17/09/2014,6.5,0.0,5.2,22.4,13.0,63,19,7.57,20.08
SYDNEY AIRPORT AMO,18/09/2014,5.0,0.0,7.0,18.0,10.9,53,26,5.63,20.93
SYDNEY AIRPORT AMO,19/09/2014,4.6,0.0,5.4,20.9,9.0,64,20,3.73,19.60
SYDNEY AIRPORT AMO,20/09/2014,3.8,0.0,4.2,17.9,8.7,74,47,5.46,19.55
SYDNEY AIRPORT AMO,21/09/2014,3.7,0.0,3.6,19.1,11.3,86,45,4.81,18.59
SYDNEY AIRPORT AMO,22/09/2014,3.7,0.2,4.8,20.1,12.5,84,44,3.88,18.15
SYDNEY AIRPORT AMO,23/09/2014,4.6,0.0,4.0,22.8,10.7,85,34,4.74,20.32
SYDNEY AIRPORT AMO,24/09/2014,4.7,0.0,5.4,25.7,12.0,90,42,5.00,19.72
SYDNEY AIRPORT AMO,25/09/2014,3.6,0.0,6.2,24.0,17.8,91,46,5.94,7.14
SYDNEY AIRPORT AMO,26/09/2014,4.0,4.4,3.0,18.9,13.9,81,53,6.64,19.67
SYDNEY AIRPORT AMO,27/09/2014,3.9,0.0,5.0,20.3,13.3,84,48,4.47,20.27
SYDNEY AIRPORT AMO,28/09/2014,5.8,0.2,5.4,25.2,11.3,80,32,6.24,21.31
SYDNEY AIRPORT AMO,29/09/2014,7.5,0.0,8.0,33.5,15.3,85,13,4.73,21.27
SYDNEY AIRPORT AMO,30/09/2014,7.8,0.0,8.0,34.2,15.7,90,9,5.37,16.51
Totals:,,128.7,41.4,141.2,,,,,, 
