'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/12/2011,5.0,9.6,9.0,18.8,15.7,93,50,8.98,28.87
SYDNEY AIRPORT AMO,02/12/2011,5.1,4.0,8.0,18.7,13.8,93,47,8.55,29.83
SYDNEY AIRPORT AMO,03/12/2011,6.4,0.2,6.8,22.3,13.4,70,41,5.40,33.21
SYDNEY AIRPORT AMO,04/12/2011,4.3,0.0,7.2,19.2,14.7,93,53,9.15,20.81
SYDNEY AIRPORT AMO,05/12/2011,3.8,2.4,7.6,17.7,12.0,94,62,8.42,23.80
SYDNEY AIRPORT AMO,06/12/2011,3.9,6.0,2.8,18.5,12.7,96,48,5.08,20.48
SYDNEY AIRPORT AMO,07/12/2011,4.0,0.2,4.0,20.5,12.2,99,61,5.16,23.57
SYDNEY AIRPORT AMO,08/12/2011,4.0,20.2,3.2,22.2,15.7,99,62,3.79,21.70
SYDNEY AIRPORT AMO,09/12/2011,5.4,0.6,3.4,23.9,16.2,97,53,4.28,29.35
SYDNEY AIRPORT AMO,10/12/2011,4.3,0.2,5.8,23.6,17.9,94,60,4.14,21.48
SYDNEY AIRPORT AMO,11/12/2011,5.2,0.0,3.8,28.2,17.8,99,51,4.30,22.57
SYDNEY AIRPORT AMO,12/12/2011,2.7,38.0, ,19.0,17.4,97,76,8.45,15.21
SYDNEY AIRPORT AMO,13/12/2011,4.8,3.8,2.0,22.0,16.3,100,54,8.74,26.15
SYDNEY AIRPORT AMO,14/12/2011, ,0.0,8.0,20.3,15.2,85,50,7.65, 
SYDNEY AIRPORT AMO,15/12/2011,5.5,0.4,7.8,22.3,15.0,88,46,4.66,29.63
SYDNEY AIRPORT AMO,16/12/2011,5.2,0.0,7.2,22.3,15.7,76,43,4.23,23.67
SYDNEY AIRPORT AMO,17/12/2011,5.9,0.0,5.4,22.5,16.9,66,42,4.23,27.57
SYDNEY AIRPORT AMO,18/12/2011,6.1,0.0,7.6,24.5,16.2,73,44,6.01,25.01
SYDNEY AIRPORT AMO,19/12/2011,3.8,0.0,7.0,24.4,19.8,93,68,6.13,16.23
SYDNEY AIRPORT AMO,20/12/2011,4.4,8.6,2.2,21.8,18.8,93,70,6.71,25.55
SYDNEY AIRPORT AMO,21/12/2011,4.4,0.0,6.8,22.7,18.6,82,68,5.07,21.83
SYDNEY AIRPORT AMO,22/12/2011,4.1,0.8,4.6,22.6,18.9,89,66,3.28,20.79
SYDNEY AIRPORT AMO,23/12/2011,4.9,3.8,3.0,25.6,18.7,95,61,4.31,24.64
SYDNEY AIRPORT AMO,24/12/2011,6.2,9.6,2.6,26.7,20.3,95,54,4.09,31.85
SYDNEY AIRPORT AMO,25/12/2011,7.1,0.2,7.2,28.2,19.8,92,46,6.66,32.20
SYDNEY AIRPORT AMO,26/12/2011,6.1,0.0,9.0,28.4,20.8,83,47,5.84,21.88
SYDNEY AIRPORT AMO,27/12/2011,4.2,0.0,6.8,21.7,19.4,89,61,8.86,17.73
SYDNEY AIRPORT AMO,28/12/2011,5.6,0.0,7.2,21.9,18.7,79,61,8.19,28.40
SYDNEY AIRPORT AMO,29/12/2011,5.7,0.2,7.0,22.7,18.2,79,54,6.56,27.67
SYDNEY AIRPORT AMO,30/12/2011,6.0,1.6,8.8,24.7,16.9,85,45,5.33,27.96
SYDNEY AIRPORT AMO,31/12/2011,4.9,0.2,7.0,23.9,16.6,84,51,4.13,22.21
Totals:,,149,110.6,178.8,,,,,, 
