'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2022,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2022,4.3,0.2,4.4,14.8,8.9,61,32,11.06,11.35
SYDNEY AIRPORT AMO,02/06/2022,2.8,0.0,5.8,17.8,8.1,73,42,5.04,10.21
SYDNEY AIRPORT AMO,03/06/2022,2.2,0.0,2.0,17.0,7.3,85,47,4.46,7.35
SYDNEY AIRPORT AMO,04/06/2022,3.0,0.0,1.4,18.1,9.0,83,40,6.09,11.21
SYDNEY AIRPORT AMO,05/06/2022,3.2,0.0,3.8,19.1,9.1,77,43,6.81,9.07
SYDNEY AIRPORT AMO,06/06/2022,4.3,0.4,4.6,18.0,10.9,76,28,9.21,11.13
SYDNEY AIRPORT AMO,07/06/2022,3.9,0.2,5.2,18.3,8.3,65,30,7.01,10.95
SYDNEY AIRPORT AMO,08/06/2022,3.4,0.0,5.0,16.1,7.7,61,34,6.66,11.08
SYDNEY AIRPORT AMO,09/06/2022,3.4,0.0,4.8,16.4,5.9,69,36,7.61,11.02
SYDNEY AIRPORT AMO,10/06/2022,3.6,0.0,3.8,17.8,8.0,68,35,7.05,11.02
SYDNEY AIRPORT AMO,11/06/2022,3.7,0.0,2.2,17.4,8.2,75,31,7.66,10.97
SYDNEY AIRPORT AMO,12/06/2022,3.8,0.0,4.0,17.6,9.4,67,37,8.29,10.97
SYDNEY AIRPORT AMO,13/06/2022,1.9,0.0,3.6,16.0,7.3,79,48,3.33,10.95
SYDNEY AIRPORT AMO,14/06/2022,2.1,0.0,2.8,18.2,5.7,85,43,3.47,10.93
SYDNEY AIRPORT AMO,15/06/2022,2.4,0.0,1.6,19.9,5.9,88,33,3.37,10.93
SYDNEY AIRPORT AMO,16/06/2022,3.0,0.0,3.2,22.0,8.6,67,35,3.97,10.36
SYDNEY AIRPORT AMO,17/06/2022,2.5,0.0,4.0,18.2,10.0,75,53,5.32,10.37
SYDNEY AIRPORT AMO,18/06/2022,2.3,0.0,2.4,17.1,10.6,80,61,6.89,9.21
SYDNEY AIRPORT AMO,19/06/2022,1.5,0.0,2.8,17.6,9.2,94,70,4.48,10.58
SYDNEY AIRPORT AMO,20/06/2022,1.3,6.2,0.8,17.6,11.5,96,65,2.63,8.34
SYDNEY AIRPORT AMO,21/06/2022,2.0,0.4,1.4,19.9,8.7,95,52,3.98,9.72
SYDNEY AIRPORT AMO,22/06/2022,2.4,0.2,3.0,17.5,9.0,74,44,4.32,10.68
SYDNEY AIRPORT AMO,23/06/2022,2.5,0.0,1.4,19.3,7.9,82,44,4.49,10.86
SYDNEY AIRPORT AMO,24/06/2022,2.7,0.0,2.4,18.9,8.8,80,42,4.81,8.58
SYDNEY AIRPORT AMO,25/06/2022,2.8,0.0,4.0,20.7,9.6,79,39,4.30,10.95
SYDNEY AIRPORT AMO,26/06/2022,1.6,0.0,2.0,18.0,7.8,85,59,2.79,9.71
SYDNEY AIRPORT AMO,27/06/2022,2.9,0.0,1.4,15.0,10.4,77,46,8.35,9.98
SYDNEY AIRPORT AMO,28/06/2022,1.5,0.8,3.6,14.9,7.3,94,69,5.81,10.24
SYDNEY AIRPORT AMO,29/06/2022,2.2,1.2,1.2,18.5,8.1,89,46,4.03,10.12
SYDNEY AIRPORT AMO,30/06/2022,2.0,0.0,3.8,17.3,10.8,79,51,3.58,9.04
Totals:,,81.2,9.6,92.4,,,,,, 
