'IDCKWCDE51,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SYDNEY AIRPORT AMO New South Wales for June 2024,,,,,,,,,,
Issued at 22:35 GMT on Monday 01 July 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SYDNEY AIRPORT AMO,01/06/2024,2.1,0.0,3.2,18.1,13.8,95,61,7.54,2.83
SYDNEY AIRPORT AMO,02/06/2024,2.2,81.4, ,16.8,11.7,94,59,8.37,7.83
SYDNEY AIRPORT AMO,03/06/2024,3.2,0.0,4.0,19.4,10.5,74,34,5.17,10.11
SYDNEY AIRPORT AMO,04/06/2024,2.5,0.0,3.0,17.8,9.6,72,48,4.66,9.79
SYDNEY AIRPORT AMO,05/06/2024,1.3,0.0,1.8,15.5,10.7,95,68,3.93,5.30
SYDNEY AIRPORT AMO,06/06/2024,0.9,14.2,0.6,16.6,10.9,97,87,3.99,4.37
SYDNEY AIRPORT AMO,07/06/2024,1.4,59.8, ,17.9,12.9,97,76,6.24,7.80
SYDNEY AIRPORT AMO,08/06/2024,2.1,6.2,0.2,20.3,11.5,96,56,5.04,7.98
SYDNEY AIRPORT AMO,09/06/2024,2.4,0.0,1.4,20.1,10.4,86,46,4.29,10.74
SYDNEY AIRPORT AMO,10/06/2024,2.3,0.0,2.6,17.4,9.4,83,53,5.30,10.64
SYDNEY AIRPORT AMO,11/06/2024,2.3,0.0,3.8,17.4,7.9,86,48,4.83,6.43
SYDNEY AIRPORT AMO,12/06/2024,3.4,0.0,2.8,18.9,10.9,78,37,6.88,9.18
SYDNEY AIRPORT AMO,13/06/2024,2.7,0.0,3.6,16.4,8.6,73,47,6.19,8.50
SYDNEY AIRPORT AMO,14/06/2024,1.3,0.0,2.6,15.7,9.6,96,69,4.04,5.80
SYDNEY AIRPORT AMO,15/06/2024,1.2,67.4, ,14.0,11.1,97,75,6.25,6.16
SYDNEY AIRPORT AMO,16/06/2024,3.0,4.2,1.2,15.9,7.4,79,36,6.75,10.91
SYDNEY AIRPORT AMO,17/06/2024,2.5,0.0,2.4,16.1,8.4,83,56,8.15,8.03
SYDNEY AIRPORT AMO,18/06/2024,2.4,0.0,2.8,16.2,8.1,74,51,5.41,10.59
SYDNEY AIRPORT AMO,19/06/2024,2.6,0.0,3.4,16.9,6.7,77,39,4.81,10.90
SYDNEY AIRPORT AMO,20/06/2024,2.3,0.0,2.8,17.7,5.3,82,28,3.30,10.82
SYDNEY AIRPORT AMO,21/06/2024,2.0,0.0,1.0,16.7,8.2,81,55,4.36,9.89
SYDNEY AIRPORT AMO,22/06/2024,1.3,29.6, ,13.5,8.9,97,72,6.62,5.47
SYDNEY AIRPORT AMO,23/06/2024,1.3,24.4,2.0,15.5,9.8,94,74,5.28,7.49
SYDNEY AIRPORT AMO,24/06/2024,2.0,0.6,1.0,18.0,6.9,94,39,3.16,10.66
SYDNEY AIRPORT AMO,25/06/2024,2.2,0.2,0.6,19.9,6.7,92,44,3.53,10.96
SYDNEY AIRPORT AMO,26/06/2024,2.5,0.0,2.2,22.4,8.5,89,44,3.87,10.86
SYDNEY AIRPORT AMO,27/06/2024,2.9,0.0,3.0,20.3,9.5,71,32,3.87,11.00
SYDNEY AIRPORT AMO,28/06/2024,2.6,0.0,4.0,19.3,8.6,74,37,3.92,11.03
SYDNEY AIRPORT AMO,29/06/2024,2.7,0.0,2.6,20.3,6.8,86,36,4.06,9.15
SYDNEY AIRPORT AMO,30/06/2024,1.5,5.8,2.4,14.6,9.4,96,66,6.36,4.49
Totals:,,65.1,293.8,61,,,,,, 
