Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066037,1939,05,90.9,Y
IDCJAC0001,066037,1939,06,14.4,Y
IDCJAC0001,066037,1939,07,39.6,Y
IDCJAC0001,066037,1939,08,71.4,Y
IDCJAC0001,066037,1939,09,62.3,Y
IDCJAC0001,066037,1939,10,39.0,Y
IDCJAC0001,066037,1939,11,57.5,Y
IDCJAC0001,066037,1939,12,16.2,Y
IDCJAC0001,066037,1940,01,18.6,Y
IDCJAC0001,066037,1940,02,11.7,Y
IDCJAC0001,066037,1940,03,15.6,Y
IDCJAC0001,066037,1940,04,144.4,Y
IDCJAC0001,066037,1940,05,134.1,Y
IDCJAC0001,066037,1940,06,68.6,Y
IDCJAC0001,066037,1940,07,98.9,Y
IDCJAC0001,066037,1940,08,32.9,Y
IDCJAC0001,066037,1940,09,67.8,Y
IDCJAC0001,066037,1940,10,47.2,Y
IDCJAC0001,066037,1940,11,63.0,Y
IDCJAC0001,066037,1940,12,167.8,Y
IDCJAC0001,066037,1941,01,115.1,Y
IDCJAC0001,066037,1941,02,46.0,Y
IDCJAC0001,066037,1941,03,31.3,Y
IDCJAC0001,066037,1941,04,72.3,Y
IDCJAC0001,066037,1941,05,27.4,Y
IDCJAC0001,066037,1941,06,44.7,Y
IDCJAC0001,066037,1941,07,40.2,Y
IDCJAC0001,066037,1941,08,65.3,Y
IDCJAC0001,066037,1941,09,34.6,Y
IDCJAC0001,066037,1941,10,40.9,Y
IDCJAC0001,066037,1941,11,18.8,Y
IDCJAC0001,066037,1941,12,16.8,Y
IDCJAC0001,066037,1942,01,5.4,Y
IDCJAC0001,066037,1942,02,35.4,Y
IDCJAC0001,066037,1942,03,304.0,Y
IDCJAC0001,066037,1942,04,21.4,Y
IDCJAC0001,066037,1942,05,44.4,Y
IDCJAC0001,066037,1942,06,122.7,Y
IDCJAC0001,066037,1942,07,33.9,Y
IDCJAC0001,066037,1942,08,20.1,Y
IDCJAC0001,066037,1942,09,18.6,Y
IDCJAC0001,066037,1942,10,155.4,Y
IDCJAC0001,066037,1942,11,121.3,Y
IDCJAC0001,066037,1942,12,107.7,Y
IDCJAC0001,066037,1943,01,38.6,Y
IDCJAC0001,066037,1943,02,16.0,Y
IDCJAC0001,066037,1943,03,33.5,Y
IDCJAC0001,066037,1943,04,42.0,Y
IDCJAC0001,066037,1943,05,421.7,Y
IDCJAC0001,066037,1943,06,39.7,Y
IDCJAC0001,066037,1943,07,7.6,Y
IDCJAC0001,066037,1943,08,193.8,Y
IDCJAC0001,066037,1943,09,108.8,Y
IDCJAC0001,066037,1943,10,43.5,Y
IDCJAC0001,066037,1943,11,129.6,Y
IDCJAC0001,066037,1943,12,71.6,Y
IDCJAC0001,066037,1944,01,57.6,Y
IDCJAC0001,066037,1944,02,55.6,Y
IDCJAC0001,066037,1944,03,50.3,Y
IDCJAC0001,066037,1944,04,74.6,Y
IDCJAC0001,066037,1944,05,59.5,Y
IDCJAC0001,066037,1944,06,47.6,Y
IDCJAC0001,066037,1944,07,76.2,Y
IDCJAC0001,066037,1944,08,95.4,Y
IDCJAC0001,066037,1944,09,40.7,Y
IDCJAC0001,066037,1944,10,39.5,Y
IDCJAC0001,066037,1944,11,18.3,Y
IDCJAC0001,066037,1944,12,14.6,Y
IDCJAC0001,066037,1945,01,48.3,Y
IDCJAC0001,066037,1945,02,72.6,Y
IDCJAC0001,066037,1945,03,32.8,Y
IDCJAC0001,066037,1945,04,315.2,Y
IDCJAC0001,066037,1945,05,174.5,Y
IDCJAC0001,066037,1945,06,119.6,Y
IDCJAC0001,066037,1945,07,108.0,Y
IDCJAC0001,066037,1945,08,40.3,Y
IDCJAC0001,066037,1945,09,10.5,Y
IDCJAC0001,066037,1945,10,22.6,Y
IDCJAC0001,066037,1945,11,56.5,Y
IDCJAC0001,066037,1945,12,44.4,Y
IDCJAC0001,066037,1946,01,15.0,Y
IDCJAC0001,066037,1946,02,47.0,Y
IDCJAC0001,066037,1946,03,122.1,Y
IDCJAC0001,066037,1946,04,188.2,Y
IDCJAC0001,066037,1946,05,46.2,Y
IDCJAC0001,066037,1946,06,120.0,Y
IDCJAC0001,066037,1946,07,2.0,Y
IDCJAC0001,066037,1946,08,8.4,Y
IDCJAC0001,066037,1946,09,21.0,Y
IDCJAC0001,066037,1946,10,54.4,Y
IDCJAC0001,066037,1946,11,68.8,Y
IDCJAC0001,066037,1946,12,14.5,Y
IDCJAC0001,066037,1947,01,55.7,Y
IDCJAC0001,066037,1947,02,94.8,Y
IDCJAC0001,066037,1947,03,56.2,Y
IDCJAC0001,066037,1947,04,126.9,Y
IDCJAC0001,066037,1947,05,84.8,Y
IDCJAC0001,066037,1947,06,42.9,Y
IDCJAC0001,066037,1947,07,11.2,Y
IDCJAC0001,066037,1947,08,27.0,Y
IDCJAC0001,066037,1947,09,23.1,Y
IDCJAC0001,066037,1947,10,33.4,Y
IDCJAC0001,066037,1947,11,87.6,Y
IDCJAC0001,066037,1947,12,199.1,Y
IDCJAC0001,066037,1948,01,160.7,Y
IDCJAC0001,066037,1948,02,43.6,Y
IDCJAC0001,066037,1948,03,106.2,Y
IDCJAC0001,066037,1948,04,28.7,Y
IDCJAC0001,066037,1948,05,120.1,Y
IDCJAC0001,066037,1948,06,135.9,Y
IDCJAC0001,066037,1948,07,18.7,Y
IDCJAC0001,066037,1948,08,18.1,Y
IDCJAC0001,066037,1948,09,45.4,Y
IDCJAC0001,066037,1948,10,13.7,Y
IDCJAC0001,066037,1948,11,14.9,Y
IDCJAC0001,066037,1948,12,48.8,Y
IDCJAC0001,066037,1949,01,139.1,Y
IDCJAC0001,066037,1949,02,86.1,Y
IDCJAC0001,066037,1949,03,99.2,Y
IDCJAC0001,066037,1949,04,33.6,Y
IDCJAC0001,066037,1949,05,59.5,Y
IDCJAC0001,066037,1949,06,191.5,Y
IDCJAC0001,066037,1949,07,38.8,Y
IDCJAC0001,066037,1949,08,90.9,Y
IDCJAC0001,066037,1949,09,189.3,Y
IDCJAC0001,066037,1949,10,34.6,Y
IDCJAC0001,066037,1949,11,79.8,Y
